DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE
Opal cristobalite,silica,,fine-grained,,,,Opal (cristobalite) is a very fine-grained silica that occurs as thin interlayers in some calcite and gypsum speleothems.
static cave,hole,,deep hole with no air drainage out of the bottom,"it traps cold , dense air and excludes warmer air",,,"The static cave is a simple deep hole with no air drainage out of the bottom; thus it traps cold, dense air and excludes warmer air."
primary porosity,,,,,,,Sedimentologists define primary porosity as that created during deposition of the rock (i.e. created first) and secondary porosity as that produced during diagenesis.
blue holes,depressions,,Shaft-like depressions deeply flooded by seawater,,in low-lying coral islands,,Shaft-like depressions deeply flooded by seawater in low-lying coral islands are known as blue holes.
Suffosion,process,by a combination of physical downwashing and chemical solution,,,in the karstified bedrock,,Suffosion is the process whereby fines are evacuated through underlying pipes in the karstified bedrock by a combination of physical downwashing and chemical solution.
polje,large plain|field,,,,,large,"The word polje signifies a field or a large plain, and it is still widely used in Slav languages without particular reference to karstic terrain (Sweeting 1972, Roglič 1974), although poljes in the karst of Slovenia are usually called dolina or dol (Gams 1994)."
tower turm mogote,,,,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
cone piton hum,,,,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
pepino,,,,,,,"The word ‘ tower ’ therefore subsumes a myriad of forms, and a variety of terms in different languages has been used to describe them, including turm, mogote, cone, piton, hum and pepino."
Breccia pipes,features,created by progressive stoping above sites of interstratal dissolution,,,,,Breccia pipes are common features of gypsum karst that are created by progressive stoping above sites of interstratal dissolution.
Gypsum tumuli,hollow domes,,round or elliptical in plan|hollow domes,,,,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996)."
bubbles tents,hollow domes,,round or elliptical in plan|hollow domes,,,,"Gypsum tumuli (bubbles or tents) are hollow domes of freshly formed gypsum that are round or elliptical in plan (Breish and Wefer 1981, Pulido-Bosch 1986, Macaluso and Sauro 1996)."
rillensteine,Clasts,,,,,,Clasts with microrills are rillensteine (Laudermilk and Woodford 1932).
Solution runnels,channels,where sheetflow or wash on a slope breaks down into linear threads,,,,,"Solution runnels are normal Hortonian channels, heading where sheetflow or wash on a slope breaks down into linear threads."
Solution dolines,feature of karst,,,,karst in humid areas,,"Solution dolines are a common feature of karst in humid areas, yet not all carbonate rocks support them."
Pinnacle karst,landform,,,,in the humid tropics and subtropics,small-scale,"Pinnacle karst is a spectacular small-scale landform found principally in the humid tropics and subtropics, with the best known examples coming from Gunung Api, Mulu, and Mount Kaijende, New Guinea."
Caves,natural museums,,,preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments,,,"Caves are natural museums, preserving important archaeological evidence as well as sediments and deposits that provide clues to past environments."
Blue holes,vertical openings,,water-filled vertical openings,,in the carbonate rock of the islands,,"Blue holes are water-filled vertical openings in the carbonate rock of the islands, which exhibit complex morphologies, ecologies, and water chemistries."
Blue holes,,"composite result of carbonate deposition and dissolution cycles , which have been controlled by glacial sea-level fluctuations",,,,,"Blue holes are the composite result of carbonate deposition and dissolution cycles, which have been controlled by glacial sea-level fluctuations."
blue hole,subsurface voids,,open to the Earth ’ s surface,provide access to submerged cave passages,extend below sea-level for a majority of their depth|developed in carbonate banks and islands,,"The term “ blue hole ” has been used in a variety of ways, but they are best defined as: “ subsurface voids that are developed in carbonate banks and islands; are open to the Earth ’ s surface; contain tidally influenced waters of fresh, marine, or mixed chemistry; extend below sea-level for a majority of their depth; and may provide access to submerged cave passages."
Carbon dioxide,,,,,,,Carbon dioxide in aqueous solution is a critical component in both the solution and precipitation of speleothems and the solution of limestone.
Diagenesis,processes,,,,,,"Diagenesis is a term describing processes of compaction and / or cementation of the initially unconsolidated carbonate mud and debris (Moore, 2001). compaction and / or cementation of the initially unconsolidated carbonate mud and debris"
Dolostone,product of diagenesis,product of diagenesis,,,,,Dolostone is a major product of diagenesis.
Carbonatites,rocks,,,,,,"Carbonatites are intrusive igneous rocks composed of 60 – 90% carbonate minerals, chiefly calcite. rocks"
Pit caves,shafts,,vertical,,,1 – 2 m in diameter and up to 15 m deep,"Pit caves are vertical shafts, 1 – 2 m in diameter and up to 15 m deep."
Mogotes,karst towers,,isolated,,in the northern section,,Mogotes are isolated karst towers that rise from the blanket sands in the northern section.
Fenglin,karst,"develops where dissolution rates , tectonic uplift , and alluviation maintain a critical balance",extreme form of karst,,,,"Fenglin is an extreme form of karst that only develops where dissolution rates, tectonic uplift, and alluviation maintain a critical balance (Zhang, 1980)."
solution dolines,karst landforms,,,,,10 – 100 m in diameter and up to 30 m in depth,"The principal surface karst landforms are shapely solution dolines, 10 – 100 m in diameter and up to 30 m in depth."
Vertical shafts,,truncated by glaciation,,,underground,,"Vertical shafts are common underground, and are often exposed at the surface, truncated by glaciation and filled with shattered rock and sediment."
sinkhole,dolines depressions,,,where streams sink underground,,,"The term sinkhole is sometimes used to refer both to dolines (especially in North America and in the engineering literature) and to depressions where streams sink underground, which in Europe are described by separate terms (including ponor, swallow hole, and stream-sink)."
Shakehole,depressions,,,,,,Shakehole is a term used in England to describe depressions in bouldery deposits such as glacial drift overlying limestone.
Collapse,movement of the ground,,,rapid downward,,,"Collapse refers to rapid downward movement of the ground, whereas subsidence refers to gradual movement, sometimes without even ripping the surface."
Fovals,formations,,,,"can be found in different positions in the caves , on the floor , or on the rocky walls",,"Fovals are brown-greyish formations that can be found in different positions in the caves, on the floor, or on the rocky walls."
kettle holes,closed depressions,developing closed depressions,assembled into extensive debris pseudokarst hillocks,,where buried ice melts in situ,,"Glacier pseudokarst also develops in debris where buried ice melts in situ, developing closed depressions, in isolation known as “ kettle holes ”, or assembled into extensive debris pseudokarst hillocks termed “ hummocky moraine ”."
resurgences,springs,reflect the changing water quality of the sinking streams,,,in allogenic karst aquifers,,"The springs in allogenic karst aquifers are known as resurgences, and are often characterized by substantial variation in water quality since they reflect the changing water quality of the sinking streams."
exsurgences,springs,Autogenic karst aquifers feed,,,,,Autogenic karst aquifers feed springs known as exsurgences.
K,,,,,,,K is a term describing the occurrence of swallow holes and fractures.
EPIK system,methodology,,,intended particularly for use in the karst of the Jura mountains,,,"An important methodology is the EPIK system, developed in Switzerland and intended particularly for use in the karst of the Jura mountains (Doerfliger et al."
fengcong karst,karst,,,,,,The smaller numbers of larger islands are clusters of steep limestone hills that are typical of fengcong karst — fragments of a spectacular karst that had not evolved through to the fenglin landforms.
paleocave system,cave system,,,,,,"A paleocave system is defined as a cave system that is no longer related in time or space to the active karst system that formed it (Loucks, 1999)."
paleocave hydrocarbon reservoir,reservoir,karst-related cavernous porosity and / or of cave-collapse-related interclast and fracture porosity,,,,,A paleocave hydrocarbon reservoir is a reservoir where the pore network consists of karst-related cavernous porosity and / or of cave-collapse-related interclast and fracture porosity.
phreatic zone,portion of an aquifer,,,does not experience exchange with stream water,deep portion of an aquifer,,"The phreatic zone is the deep portion of an aquifer that does not experience exchange with stream water, in contrast to the hyporheic zone."
arêtes,ridges with spires,,"naked , reticulated , saw-topped ridges with spires|vertical side slopes",,,c . 120 m high,"The arêtes are naked, reticulated, saw-topped ridges with spires, with practically vertical side slopes c. 120 m high."
Microrills,karren form,,distinctive rilling appearance,,,smallest,Microrills are the smallest karren form showing a distinctive rilling appearance.
Rainpits,hollows,,"cup-like hollows , sub-circular in plan and nearly parabolic in cross section",,,diameter ranges from 0.5 – 5 cm and rarely exceed 2 cm in depth|small,"Rainpits are small cup-like hollows, sub-circular in plan and nearly parabolic in cross section, whose diameter ranges from 0.5 – 5 cm and rarely exceed 2 cm in depth; they appear clustered in groups, or even packed by coalescence."
Decantation runnels,rills,"the solvent supply is not directly related to rainfall , but corresponds to overspilling stores of water , such as moss clumps , small snow banks , or soil remnants",reduce in width and depth downslope,,,,"Decantation runnels are rills, which reduce in width and depth downslope because the solvent supply is not directly related to rainfall, but corresponds to overspilling stores of water, such as moss clumps, small snow banks, or soil remnants."
cutters,,,,,develops beneath soil cover,,"The term “ cutters ” is commonly used in North America as a synonym for grike, although it is best applied to a variety of grike that develops beneath soil cover."
grike,,,,,develops beneath soil cover,,"The term “ cutters ” is commonly used in North America as a synonym for grike, although it is best applied to a variety of grike that develops beneath soil cover."
Karst,terrain,arising from the combination of high rock solubility and well-developed solution channel ( secondary ) porosity underground,,,,,Karst is terrain with distinctive hydrology and landforms arising from the combination of high rock solubility and well-developed solution channel (secondary) porosity underground.
Aragonite,mineral,,,,in some parts of the cave,,"Aragonite is a main speleothem mineral in some parts of the cave, often in association with calcite."
Halite,,,,,,,"Halite is known to form seeping water speleothems such as crusts, hair, cotton, and flowers, and dripping water speleothems such as stalactites and stalagmites."
“ chandelier ” stalactites,gypsum,,,,,,"A spectacular form of gypsum is “ chandelier ” stalactites, such as those that occur in Lechuguilla Cave, New Mexico."
flank-margin caves,type of cave,as a result of sea-water and freshwater mixing,,,inside the coastline,,"The caves are the world ’ s largest known examples of “ flank-margin caves ”, a type of cave that develops in carbonate coastlines as a result of sea-water and freshwater mixing inside the coastline. coastlines sea-water freshwater"
Morphometry,measurement and analysis,,,,,,Morphometry is the measurement and analysis of form (shape).
dissolutional corridors,landforms,created by the doming,follow major vertical fractures,,,,"The outstanding landforms are dissolutional corridors (“ streets ”) in the limestone that follow major vertical fractures created by the doming (Brook & Ford, 1978)."
Paleokarst,phenomenon,,,,found on all continents,,"Paleokarst is a worldwide phenomenon that is found on all continents, including Antarctica, and in the geological record from the early Proterozoic to the Holocene."
Caves without roofs,paleokarst landform,,without roofs,,,,Caves without roofs are an important paleokarst landform which has only recently attracted scientific attention.
Paleokarst aquifers,,,,important sources of water,,,Paleokarst aquifers are important sources of water and can present a significant flooding hazard to underground mining operations. underground mining operations
Palynology,study of microscopic organic matter,,,provide important evidence about ancient environments,,,"Palynology, the study of microscopic organic matter known as palynomorphs (Traverse, 1988), offers enormous potential in karst research since it can provide important evidence about ancient environments."
Palynology,,,,provides a picture of the flora close to the cave|enables environmental and climatic reconstruction,,,"Palynology is an integral part of many archaeological investigations in caves, since it provides a picture of the flora close to the cave and thus enables environmental and climatic reconstruction."
Paragenesis,processes,,,,,,Paragenesis is the term introduced by Renault (1968) to describe the processes by which cave genesis within the phreatic zone is modified by influxes of sediment.
Network mazes,angular grids,,angular grids of intersecting fissures guided by fractures,,,,“ Network mazes ” are angular grids of intersecting fissures guided by fractures.
Spongework mazes,cavities,enlarged from primary pores cavities,interconnect in a three-dimensional array like the holes in a sponge|irregular cavities,,,,"“ Spongework mazes ” are irregular cavities enlarged from primary pores, which interconnect in a three-dimensional array like the holes in a sponge. cavities"
blind valleys,landforms,Large allogenic streams penetrate farther into the karst in well-defined valleys before they sink,valleys usually terminate abruptly in a cliff or steep slope,,,,"Large allogenic streams penetrate farther into the karst in well-defined valleys before they sink, and they produce landforms known as blind valleys, because their valleys usually terminate abruptly in a cliff or steep slope."
pre-ponor retention,water accumulation,,,,in the surface depression just above the ponor,,A pre-ponor retention is a temporary water accumulation in the surface depression just above the ponor. in the surface depression just above the ponor
Pseudokarstic caves,natural underground spaces,produced by some process other than dissolution|natural,,,,large enough to enter and investigate,"Pseudokarstic caves are natural underground spaces, large enough to enter and investigate, extending beyond daylight, and produced by some process other than dissolution."
Emanation,net radon production rate,depends on the concentration of uranium ( which then decays to radium ) in the material,,,,,"Emanation is the net radon production rate in the rock walls of a cave, or in unconsolidated sediment within the cave, and ultimately depends on the concentration of uranium (which then decays to radium) in the material."
Exhalation,proportion of radon,,,,,,Exhalation is the proportion of radon produced that is released into the atmosphere.
Whiting,fine-grained filler,derived by fine grinding,,,,such that > 95% is < 44 µm,Whiting is a specific category of fine-grained filler derived by fine grinding such that > 95% is < 44 µm.
Littoral caves,,,,,relict sea caves on former coastlines|found throughout the world|forming along present coastlines,,"Littoral caves, more commonly known as sea caves, are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines."
sea caves,,,,,relict sea caves on former coastlines|found throughout the world|forming along present coastlines,,"Littoral caves, more commonly known as sea caves, are found throughout the world, actively forming along present coastlines and as relict sea caves on former coastlines."
Slabs,fragments of a single bed,,fragments of a single bed,,,a few cubic metres in volume,"Slabs are fragments of a single bed, generally a few cubic metres in volume."
Moonmilk,precipitate,seems to be originated by microbiological reactions,,,,,Moonmilk is a precipitate that seems to be originated by microbiological reactions.
margin,position of the cave,forms the island,,,under the flank of the high ground,,"The term “ margin ” refers to the position of the cave at the margin of the lens, and the term “ flank ” refers to the cave ’ s position under the flank of the high ground that forms the island."
Speleotherapy,medical treatment,,,,,,"Speleotherapy is a special type of medical treatment, involving subterranean environments and their specific microclimate."
exsurgences,Springs,receive the bulk of their recharge from a karst surface,,,,,"Springs in autogenic aquifers, which receive the bulk of their recharge from a karst surface, are known as exsurgences, and exhibit less variability in discharge and composition."
Open anchialine pools,coastal pools,,connected to the sea by cave corridors,,coastal,,Open anchialine pools are coastal pools connected to the sea by cave corridors.
Fungi,decomposers,,,"produce a variety of extracellular enzymes ( lipases , proteinases , and chitinases ) that degrade organic detritus|important decomposers in caves",in caves,,"Fungi are important decomposers in caves and produce a variety of extracellular enzymes (lipases, proteinases, and chitinases) that degrade organic detritus. in caves"
Glaciokarstic varves,sediments,,"silty , laminated sediments",,,,"Glaciokarstic varves are silty, laminated sediments composed largely of calcite flakes."
Vulcanospeleology,study of caves,,,,,,Vulcanospeleology is the study of caves in volcanic rocks — primarily lava tube caves and open vertical volcanic conduits.
anchialine,pools,,pools with no surface connection to the sea,,,,"The term anchialine was coined by Holthuis (1973) to describe pools with no surface connection to the sea, containing salt or brackish water, which fluctuates with the tides."
Entrances,intersections of the caves,accidental intersections of the caves by surface erosion,,,,,Entrances are accidental intersections of the caves by surface erosion.
fengcong,groups of rocky hills,,,,rising from shared limestone foot-slopes .,,The fengcong is defined as groups of rocky hills or peaks rising from shared limestone foot-slopes.
fenglin,limestone towers or peaks,,isolated from each other by flat limestone surfaces,,,,"The fenglin is defined as limestone towers or peaks that are isolated from each other by flat limestone surfaces, which are generally covered by a thin layer of loose sediment."
Radiolocation,technique,,,to find out where the extremities of a cave lie and reduce cumulative errors in the survey,,,"Radiolocation is a technique to fix an underground point to the corresponding point on the surface, usually to find out where the extremities of a cave lie and reduce cumulative errors in the survey."
peak forest,tower karst,,,,where groups of residual hills share a common exposed bedrock base|where towers are isolated,,"Various names have been ascribed to the towers and the overall landscape: in Chinese, tower karst is known as fenglin (peak forest) where towers are isolated, and fengcong (peak cluster) where groups of residual hills share a common exposed bedrock base; in Spanish the towers are termed mogotes; in French they are tourelles or pitons; in German Turmkarst; elsewhere they are known as “ haystacks ” and pepinos."
fenglin,tower karst,,,,where groups of residual hills share a common exposed bedrock base|where towers are isolated,,"Various names have been ascribed to the towers and the overall landscape: in Chinese, tower karst is known as fenglin (peak forest) where towers are isolated, and fengcong (peak cluster) where groups of residual hills share a common exposed bedrock base; in Spanish the towers are termed mogotes; in French they are tourelles or pitons; in German Turmkarst; elsewhere they are known as “ haystacks ” and pepinos."
artificial underground reservoir,portion of an aquifer,,,to control the discharge regime of artificially stored water,,,An artificial underground reservoir is a portion of an aquifer that has been improved to control the discharge regime of artificially stored water.
Valleys,feature,,,,of most karst regions,,"Valleys are a feature of most karst regions, the exceptions ‘ being areas of polygonal karst where the whole surface is pitted by dolines, although even here there may be vestiges of former valley networks."
Pocket valleys,blind valleys,,,,they occur in association with large springs close to the margins of karst areas,,"Pocket valleys (or steepheads) are the reverse of blind valleys, since they occur in association with large springs close to the margins of karst areas."
steepheads,blind valleys,,,,they occur in association with large springs close to the margins of karst areas,,"Pocket valleys (or steepheads) are the reverse of blind valleys, since they occur in association with large springs close to the margins of karst areas."
Sinkholes,closed land surface depressions,,closed,with internal drainage,typically formed in karst environments,,"Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments (Ford and Williams, 2007)."
dolines,closed land surface depressions,,closed,with internal drainage,typically formed in karst environments,,"Sinkholes or dolines are closed land surface depressions with internal drainage typically formed in karst environments (Ford and Williams, 2007)."
uvalas,karst depressions,are formed due to coalescence of several dolines,,,,,"In most references, uvalas are defined as karst depressions which are formed due to coalescence of several dolines."
Uvalas,hollows,,with undulating floors,,,,Uvalas are hollows with undulating floors made up of more than one doline.
uvala,,,floored by sinkholes,,,,The term uvala is used in a variety of ways and is sometimes applied to youthful poljes or to dry valleys floored by sinkholes.
sinkhole,,,with one or more low spots along its bottom|bowl shaped,,,,"A typical sinkhole is bowl shaped, with one or more low spots along its bottom."
Paleokarst,karst terrain,,,,has been buried beneath younger sediments,,Paleokarst is karst terrain that has been buried beneath younger sediments.
sedimentation and filtration basins,Basins,,,designed and maintained to filter sediments and pollutants,,,Basins designed and maintained to filter sediments and pollutants are known as sedimentation and filtration basins.
Jelar Breccia,carbonate rock,,,,,,"The Jelar Breccia is a massive, thick-bedded carbonate rock, comprised predominantly of angular, poorly sorted debris."
Smaller relief features,,,,,,,"Smaller relief features are uvalas, dolines, dry valleys, collapsed dolines, and caves."
Karren,dissolution features,,,,on exposed soluble rock surfaces,,Karren is a common term used for dissolution features on exposed soluble rock surfaces. rock
rillenkarren,,form of corrosion,,,,,Characteristic form of corrosion is rillenkarren.
Karst poljes,depressions,,largest flat-floored enclosed depressions,,in karst,,Karst poljes are the largest flat-floored enclosed depressions in karst.
Uvalas,karst depressions,,of elongated or irregular plan form|closed,,,large,"Uvalas are large, km-scale closed karst depressions of elongated or irregular plan form."
uvala,depression,,denoting a large depression,,,,"The word “ uvala ” is a common toponym in the Dinaric karst, always denoting a large depression."
cave roof collapse,process,,,,,,The cave roof collapse is a slow process that proceeds by the breaking of the walls and ceiling until equilibrium is established on the slopes of the doline. collapse
Caves,karst drainage system,,,,,,Caves are active or relict parts of the karst drainage system.
dissolution of rock,process,,,,,,The dissolution of rock is the decisive process in the formation of karst. dissolution
Shilin,pinnacle karst,,,,formed on a plateau of gently dipping limestone,,Shilin is a type of pinnacle karst formed on a plateau of gently dipping limestone (Knez & Slabe 2002).
Stone forest,karst landscape,,,,standing on an undulating karst plateau,,"Stone forest refers to a particular karst landscape, composed of a group of densely distributed limestone columns standing on an undulating karst plateau."
geological processes,,,,,"between the lithosphere , the hydrosphere , the atmosphere and the biosphere",,"Karst process is a part of geological processes. The latter is defined as the processes of the transformation and movement of the carbon between the lithosphere, the hydrosphere, the atmosphere and the biosphere in the forms of CO3 (mainly CaCO, MgCO), HCO, CO, CH, and (CH O) n (organic carbon)."
Karst springs,boundaries or ecotones,,,,between the subsurface and the surface environments,,Karst springs are boundaries or ecotones between the subsurface and the surface environments.
carbonate reactions,,,,,In karst regions of the world,,"In karst regions of the world, the carbonate reactions are calcite dissolution, tufa formation, and carbonate formation."
Gypsum crusts,,form as corrosion residues,,,,,Gypsum crusts form as corrosion residues and providea substrate for extremely acidic (pH 0 - 1) biofilms known as snottites.
dolomitization,,,,thus enhancing secondary porosity and hydraulic conductivity,,,The silicification process is volume conserving while the dolomitization results in a decrease in volume thus enhancing secondary porosity and hydraulic conductivity.
epikarst,permeable boundary,,,permeable boundary,between the surface and subsurface environments,,The epikarst is a permeable boundary between the surface and subsurface environments and can be conceptualized as the vadose critical zone of epigenic karst systems.
hyporheic zone,zone,,that has a variable thickness and lateral extent,through which surface water and groundwater exchange and mix,,,"The hyporheic zone is a zone (usually associated with a coupled river - alluvial aquifer system) that has a variable thickness and lateral extent, through which surface water and groundwater exchange and mix. river - alluvial aquifer system"
hyporheic zone,"zone of fluid flux , biogeochemical reactions",,,,,,"The hyporheic zone is a zone of fluid flux, biogeochemical reactions, including processing of organic matter, and the flux of animals."
Sand,cave sediment,,which was well washed,,,,"Sand is a cave sediment which was well washed, since it is made up almost exclusively of quartz grains."
Goethite,mineral,but can also be created as a precipitate in marshes and springs|created in the oxidation of various iron minerals,,,,,"Goethite is a very frequent mineral created in the oxidation of various iron minerals, but can also be created as a precipitate in marshes and springs."
flowstone,,"are the result of dripping , running , trickling , trapped , condensed water etc",,,,,"Various forms of flowstone are the result of dripping, running, trickling, trapped, condensed water etc. It is secreted from water flowing down the walls or the floor in layers,"
Lowland,lower karstified section,,with gently sloping hills,,lower,,Lowland is a lower karstified section with gently sloping hills.
fluvial karst forms,dolines,,,,that can be found particularly on flat parts of land,can amount to several 10 per km2|Smaller|smaller,Smaller fluvial karst forms (mesoforms) are smaller dolines that can be found particularly on flat parts of land and can amount to several 10 per km2.
mesoforms,dolines,,,,that can be found particularly on flat parts of land,can amount to several 10 per km2|Smaller|smaller,Smaller fluvial karst forms (mesoforms) are smaller dolines that can be found particularly on flat parts of land and can amount to several 10 per km2.
Scallops,shallow niches,that are shaped by eddies,shallow,,,up to a few cm long,"Scallops are shallow niches, up to a few cm long, that are shaped by eddies. eddies"
exokarstic storey,upper part of the karstosphere,,,,between the topographic surface and a depth of 0.5 to 7.0 km|upper part of the karstosphere,,The exokarstic storey represents the upper part of the karstosphere between the topographic surface and a depth of 0.5 to 7.0 km.
faults,fractures,,,,along which movement has occurred or still occurs|in the rocks of the earth's crust,,"In structural geology, faults are defined as fractures in the rocks of the earth's crust along which movement has occurred or still occurs (Davis & Reynolds 1996)."
Fission-track method,radiogenic method,,,,,,Fission-track method is a radiogenic method of age estimation based on accumulation of damage trails left by nuclei that are expelled during fission decays of 238U.
